RecordTime,全局占用(%),extra,SimpleTime
1669278511846,49.033817,,828.37
1669278512367,48.72449,,828.891
1669278512828,46.842106,,829.352
1669278513335,46.58228,,829.859
1669278513848,49.172577,,830.372
1669278514348,51.27551,,830.872
1669278514881,49.753696,,831.405
1669278515331,47.244095,,831.855
1669278515840,50.757576,,832.364
1669278516340,47.704082,,832.864
1669278516835,49.63325,,833.359
1669278517328,49.8708,,833.852
1669278517837,50.465115,,834.361
1669278518354,44.98715,,834.878
1669278518825,47.439354,,835.349
1669278519348,46.650124,,835.872
1669278519857,51.40665,,836.381
1669278520332,51.162792,,836.856
1669278520831,57.416267,,837.355
1669278521416,50.226246,,837.94
1669278521841,52.69122,,838.365
1669278522336,51.715687,,838.86
1669278522817,55.585106,,839.341
1669278523337,50.239235,,839.861
1669278523825,46.736294,,840.349
1669278524357,47.44186,,840.881
1669278524836,50.0,,841.36
1669278525347,48.899757,,841.871
1669278525836,52.05128,,842.36
1669278526359,47.969543,,842.883
1669278526902,48.93617,,843.426
1669278527338,53.638813,,843.862
1669278527854,54.634148,,844.378
1669278528382,52.77778,,844.906
1669278528837,46.01064,,845.361
1669278529343,45.72127,,845.867
1669278529864,46.391754,,846.388
1669278530328,46.85864,,846.852
1669278530861,47.294117,,847.385
1669278531390,46.82353,,847.914
1669278531867,46.923077,,848.391
1669278532349,56.396866,,848.873
1669278532854,54.452927,,849.378
1669278533359,55.44794,,849.883
1669278533883,50.0,,850.407
1669278534367,49.379654,,850.891
1669278534877,46.632126,,851.401
1669278535354,48.195877,,851.878
1669278535883,50.36855,,852.407
1669278536365,48.0,,852.889
1669278536871,51.45631,,853.395
1669278537347,51.804123,,853.871
1669278537851,56.09137,,854.375
1669278538362,53.9801,,854.886
1669278538836,48.812664,,855.36
1669278539354,48.920864,,855.878
1669278539848,47.411446,,856.372
1669278540361,51.715687,,856.885
1669278540845,49.38575,,857.369
1669278541356,47.381546,,857.88
1669278541887,48.067635,,858.411
1669278542351,52.34375,,858.875
1669278542859,53.030304,,859.383
1669278543362,54.060913,,859.886
1669278543882,47.228916,,860.406
1669278544318,43.922653,,860.842
1669278544885,45.057472,,861.409
1669278545371,48.08184,,861.895
1669278545831,49.602123,,862.355
1669278546354,47.91155,,862.878
1669278546858,49.49495,,863.382
1669278547383,55.097088,,863.907
1669278547849,55.91133,,864.373
1669278548349,54.263565,,864.873
1669278548891,50.707546,,865.415
1669278549342,50.385605,,865.866
1669278549912,48.139534,,866.436
1669278550380,49.87013,,866.904
1669278550838,50.26738,,867.362
1669278551393,51.247166,,867.917
1669278551893,49.751244,,868.417
1669278552346,53.743317,,868.87
1669278552891,47.208122,,869.415
1669278553387,45.384617,,869.911
1669278553883,48.87218,,870.407
1669278554368,48.445595,,870.892
1669278554853,46.666668,,871.377
1669278555406,47.716896,,871.93
1669278555910,52.030457,,872.434
1669278556351,48.404255,,872.875
1669278556917,46.462265,,873.441
1669278557371,55.14512,,873.895
1669278557871,57.560974,,874.395
1669278558417,48.994976,,874.941
1669278558884,48.346054,,875.408
1669278559367,45.742092,,875.891
1669278559865,48.42105,,876.389
1669278560366,50.242718,,876.89
1669278560898,50.95694,,877.422
1669278561399,45.477386,,877.923
1669278561886,45.93176,,878.41
1669278562391,52.525253,,878.915
1669278562884,52.49344,,879.408
1669278563408,47.688564,,879.932
1669278563887,48.110832,,880.411
1669278564409,47.014927,,880.933
1669278564892,49.8708,,881.416
1669278565416,46.650124,,881.94
1669278565848,50.65963,,882.372
1669278566414,49.199085,,882.938
1669278566898,48.177082,,883.422
1669278567372,49.095608,,883.896
1669278567909,50.75,,884.433
1669278568372,46.739132,,884.896
1669278568871,47.65625,,885.395
1669278569380,47.058823,,885.904
1669278569870,49.100258,,886.394
1669278570411,49.88067,,886.935
1669278570918,50.243904,,887.442
1669278571395,50.656166,,887.919
1669278571887,49.516907,,888.411
1669278572383,56.708862,,888.907
1669278572877,55.874672,,889.401
1669278573398,53.596287,,889.922
1669278573923,50.605328,,890.447
1669278574373,48.626373,,890.897
1669278574894,46.616543,,891.418
1669278575427,51.179245,,891.951
1669278575865,47.790054,,892.389
1669278576406,51.073986,,892.93
1669278576895,48.241207,,893.419
1669278577401,50.629723,,893.925
1669278577881,54.47761,,894.405
1669278578435,51.923077,,894.959
1669278578917,53.54331,,895.441
1669278579405,48.232323,,895.929
1669278579932,48.477158,,896.456
1669278580404,50.36855,,896.928
1669278580913,50.765305,,897.437
1669278581417,47.058823,,897.941
1669278581946,47.877357,,898.47
1669278582380,50.688705,,898.904
1669278582876,50.93834,,899.4
1669278583389,49.285713,,899.913
1669278583927,48.57143,,900.451
1669278584391,49.322495,,900.915
1669278584905,49.52381,,901.429
1669278585416,48.65526,,901.94
1669278585871,49.72826,,902.395
1669278586443,51.81818,,902.967
1669278586894,50.260418,,903.418
1669278587425,51.068882,,903.949
1669278587879,55.86592,,904.403
1669278588425,55.244755,,904.949
1669278588866,53.424656,,905.39
1669278589437,48.71795,,905.961
1669278589884,48.850574,,906.408
1669278590369,56.862743,,906.893
1669278590899,53.482586,,907.423
1669278591464,49.095024,,907.988
1669278591887,46.68588,,908.411
1669278592453,49.760765,,908.977
1669278592913,56.585365,,909.437
1669278593416,59.949623,,909.94
1669278593887,69.81628,,910.411
1669278594398,76.049385,,910.922
1669278594911,54.85437,,911.435
1669278595421,49.87013,,911.945
1669278595928,50.735294,,912.452
1669278596437,50.123455,,912.961
1669278596938,48.88889,,913.462
1669278597407,51.75,,913.931
1669278597926,55.50122,,914.45
1669278598449,48.484848,,914.973
1669278598927,47.57033,,915.451
1669278599430,49.509804,,915.954
1669278599926,46.33508,,916.45
1669278600387,53.54331,,916.911
1669278600947,49.03846,,917.471
1669278601425,52.53012,,917.949
1669278601933,49.36709,,918.457
1669278602381,51.554405,,918.905
1669278602909,68.81443,,919.433
1669278603414,62.80788,,919.938
1669278603941,53.990612,,920.465
1669278604383,56.629833,,920.907
1669278604925,51.201923,,921.449
1669278605411,48.370926,,921.935
1669278605924,48.533333,,922.448
1669278606413,50.75377,,922.937
1669278606910,49.357327,,923.434
1669278607425,48.564594,,923.949
1669278607909,53.350517,,924.433
1669278608419,52.80612,,924.943
1669278608881,54.111404,,925.405
1669278609411,51.84275,,925.935
1669278609940,48.809525,,926.464
1669278610436,50.773197,,926.96
1669278610919,49.73822,,927.443
1669278611445,48.048782,,927.969
1669278611937,48.129677,,928.461
1669278612444,49.514565,,928.968
1669278612918,53.94402,,929.442
1669278613441,53.77129,,929.965
1669278613901,49.871464,,930.425
1669278614413,46.753246,,930.937
1669278614929,47.61905,,931.453
1669278615418,46.276596,,931.942
1669278615939,51.20773,,932.463
1669278616358,43.236073,,932.882
1669278616856,20.698254,,933.38
1669278617421,25.721153,,933.945
1669278617930,49.526066,,934.454
1669278618430,45.679012,,934.954
1669278618938,40.399002,,935.462
1669278619427,39.0,,935.951
1669278619929,38.861385,,936.453
1669278620425,41.666668,,936.949
1669278620920,39.07455,,937.444
1669278621437,39.95098,,937.961
1669278621942,39.371983,,938.466
1669278622430,41.075794,,938.954
1669278622942,44.080605,,939.466
1669278623436,45.69378,,939.96
1669278623929,41.237114,,940.453
1669278624438,35.714287,,940.962
1669278624933,38.636364,,941.457
1669278625408,36.968086,,941.932
1669278625863,35.784313,,942.387
1669278626434,37.33032,,942.958
1669278626921,44.836273,,943.445
1669278627466,46.410255,,943.99
1669278627945,49.620255,,944.469
1669278628439,49.627792,,944.963
1669278628954,48.756218,,945.478
1669278629409,47.028423,,945.933
1669278629952,46.68305,,946.476
1669278630439,47.81491,,946.963
1669278630950,47.474747,,947.474
1669278631436,47.75,,947.96
1669278631926,48.586117,,948.45
1669278632452,50.591015,,948.976
1669278632928,53.470436,,949.452
1669278633462,53.38164,,949.986
1669278633946,52.35602,,950.47
1669278634457,48.786407,,950.981
1669278634951,48.317307,,951.475
1669278635448,47.969543,,951.972
1669278635956,53.366585,,952.48
1669278636433,53.54331,,952.957
1669278636929,50.95694,,953.453
1669278637451,53.884712,,953.975
1669278637947,56.997456,,954.471
1669278638433,54.591835,,954.957
1669278638965,55.231144,,955.489
1669278639470,47.524754,,955.994
1669278639949,49.872772,,956.473
1669278640485,47.848103,,957.009
1669278640947,50.121067,,957.471
1669278641466,46.98163,,957.99
1669278641984,48.019802,,958.508
1669278642471,50.37594,,958.995
1669278642953,57.53769,,959.477
1669278643452,56.467663,,959.976
1669278643955,51.688313,,960.479
1669278644401,53.43915,,960.925
1669278644946,47.630924,,961.47
1669278645467,52.592594,,961.991
1669278645975,54.58937,,962.499
1669278646469,52.53807,,962.993
1669278646974,54.18719,,963.498
1669278647457,51.554405,,963.981
1669278647966,59.168705,,964.49
1669278648464,57.36842,,964.988
1669278648964,55.231144,,965.488
1669278649468,52.01005,,965.992
1669278649968,48.41076,,966.492
1669278650468,47.395832,,966.992
1669278650933,51.44357,,967.457
1669278651473,49.311928,,967.997
1669278651966,52.272728,,968.49
1669278652481,50.64935,,969.005
1669278652985,59.949623,,969.509
1669278653464,55.555557,,969.988
1669278653988,55.20581,,970.512
1669278654463,48.492462,,970.987
1669278654970,49.379654,,971.494
1669278655465,50.487804,,971.989
1669278655973,51.0,,972.497
1669278656467,49.75,,972.991
1669278656965,50.383633,,973.489
1669278657489,48.61461,,974.013
1669278657950,54.617413,,974.474
1669278658458,53.29949,,974.982
1669278658977,50.74627,,975.501
1669278659488,48.648647,,976.012
1669278659990,52.825554,,976.514
1669278660493,49.73822,,977.017
1669278660968,50.0,,977.492
1669278661461,46.25,,977.985
1669278661976,46.73367,,978.5
1669278662504,50.0,,979.028
1669278662973,53.846153,,979.497
1669278663469,55.242966,,979.993
1669278663991,52.870815,,980.515
1669278664473,50.0,,980.997
1669278664986,47.263683,,981.51
1669278665494,51.0101,,982.018
1669278665955,52.820515,,982.479
1669278666467,49.23858,,982.991
1669278666971,47.959183,,983.495
1669278667519,51.053864,,984.043
1669278667997,54.1779,,984.521
1669278668490,49.156628,,985.014
1669278668993,50.0,,985.517
1669278669495,49.50739,,986.019
1669278669989,49.20635,,986.513
1669278670494,50.363197,,987.018
1669278670995,47.665848,,987.519
1669278671484,47.058823,,988.008
1669278671997,49.03846,,988.521
1669278672462,57.29443,,988.986
1669278672979,51.92802,,989.503
1669278673503,50.717705,,990.027
1669278674023,49.292454,,990.547
1669278674481,50.265957,,991.005
1669278675002,50.714287,,991.526
1669278675495,46.791443,,992.019
1669278675999,48.15725,,992.523
1669278676510,48.110832,,993.034
1669278677017,46.928745,,993.541
1669278677529,52.040817,,994.053
1669278677981,56.46438,,994.505
1669278678451,61.61616,,994.975
1669278679026,53.5545,,995.55
1669278679519,57.552082,,996.043
1669278679984,53.964195,,996.508
1669278680544,50.51282,,997.068
1669278680994,53.367874,,997.518
1669278681516,50.48077,,998.04
1669278681992,48.8,,998.516
1669278682498,50.248756,,999.022
1669278682996,53.562653,,999.52
1669278683518,48.641975,,1000.042
1669278684011,48.51485,,1000.535
1669278684497,51.37157,,1001.021
1669278685002,50.0,,1001.526
1669278685504,47.058823,,1002.028
1669278685993,51.785713,,1002.517
1669278686507,47.536945,,1003.031
1669278687023,48.674698,,1003.547
1669278687503,50.126583,,1004.027
1669278688032,52.019,,1004.556
1669278688509,57.179485,,1005.033
1669278689019,56.20609,,1005.543
1669278689504,48.157894,,1006.028
1669278690013,48.883373,,1006.537
1669278690519,50.0,,1007.043
1669278690987,49.492386,,1007.511
1669278691543,47.775177,,1008.067
1669278692006,49.593494,,1008.53
1669278692493,50.37037,,1009.017
1669278693028,50.966183,,1009.552
1669278693494,52.57732,,1010.018
1669278694029,55.84112,,1010.553
1669278694536,49.742268,,1011.06
1669278695006,49.484535,,1011.53
1669278695506,49.61832,,1012.03
1669278696011,46.359222,,1012.535
1669278696527,50.0,,1013.051
1669278696987,57.98969,,1013.511
1669278697499,48.920864,,1014.023
1669278698029,56.82927,,1014.553
1669278698478,56.31068,,1015.002
1669278698998,60.545906,,1015.522
1669278699500,52.475246,,1016.024
1669278699983,53.551914,,1016.507
1669278700482,53.30073,,1017.006
1669278700975,46.464645,,1017.499
1669278701470,50.128536,,1017.994
1669278701984,52.606636,,1018.508
1669278702455,52.987015,,1018.979
1669278703001,54.96536,,1019.525
1669278703475,60.559795,,1019.999
1669278704007,61.948956,,1020.531
1669278704456,50.0,,1020.98
1669278705004,59.564163,,1021.528
1669278705509,52.19638,,1022.033
1669278706047,53.51474,,1022.571
1669278706558,51.458885,,1023.082
1669278707004,53.524803,,1023.528
1669278707520,53.18066,,1024.044
1669278708015,55.155876,,1024.539
1669278708524,59.564163,,1025.048
1669278708999,61.780106,,1025.523
1669278709547,50.26178,,1026.071
1669278709981,56.31313,,1026.505
1669278710532,55.069126,,1027.056
1669278711059,51.904762,,1027.583
1669278711526,48.412697,,1028.05
1669278712004,48.72449,,1028.528
1669278712537,49.635036,,1029.061
1669278713011,54.656864,,1029.535
1669278713513,55.498722,,1030.037
1669278713991,60.0,,1030.515
1669278714539,51.767677,,1031.063
1669278715008,48.924732,,1031.532
1669278715537,48.80383,,1032.061
1669278716044,47.959183,,1032.568
1669278716513,48.429317,,1033.037
1669278717044,48.20144,,1033.568
1669278717564,48.62843,,1034.088
1669278718024,52.089138,,1034.548
1669278718526,55.048077,,1035.05
1669278719005,55.181347,,1035.529
1669278719488,53.640778,,1036.012
1669278719993,48.05195,,1036.517
1669278720523,51.09489,,1037.047
1669278721069,52.054794,,1037.593
1669278721551,48.387096,,1038.075
1669278722025,47.54522,,1038.549
1669278722584,46.91943,,1039.108
1669278723052,49.57507,,1039.576
1669278723468,57.881138,,1039.992
1669278724018,55.896225,,1040.542
1669278724534,51.54639,,1041.058
1669278725059,48.86076,,1041.583
1669278725533,51.20773,,1042.057
1669278726028,49.333332,,1042.552
1669278726555,48.91566,,1043.079
1669278727042,50.4,,1043.566
1669278727549,49.761906,,1044.073
1669278728024,48.6911,,1044.548
1669278728535,55.555557,,1045.059
1669278729022,56.81234,,1045.546
1669278729558,55.324074,,1046.082
1669278730076,50.125313,,1046.6
1669278730562,48.091602,,1047.086
1669278731043,50.0,,1047.567
1669278731544,48.8,,1048.068
1669278732041,49.761906,,1048.565
1669278732545,51.25,,1049.069
1669278733074,50.626568,,1049.598
1669278733523,54.241646,,1050.047
1669278734042,55.172413,,1050.566
1669278734563,52.8436,,1051.087
1669278735076,51.08959,,1051.6
1669278735552,52.16285,,1052.076
1669278736059,48.787064,,1052.583
1669278736527,48.812664,,1053.051
1669278737052,48.22695,,1053.576
1669278737560,46.027397,,1054.084
1669278738046,56.265358,,1054.57
1669278738558,53.960396,,1055.082
1669278739037,56.735752,,1055.561
1669278739561,54.415276,,1056.085
1669278740046,48.756218,,1056.57
1669278740561,51.237625,,1057.085
1669278741058,53.5,,1057.582
1669278741562,51.52941,,1058.086
1669278742066,50.125946,,1058.59
1669278742553,50.79787,,1059.077
1669278743038,51.116627,,1059.562
1669278743599,50.348026,,1060.123
1669278744030,56.077347,,1060.554
1669278744513,72.25,,1061.037
1669278745065,56.127453,,1061.589
1669278745556,52.76382,,1062.08
1669278746041,56.345177,,1062.565
1669278746570,50.35461,,1063.094
1669278747045,49.622166,,1063.569
1669278747582,49.379654,,1064.106
1669278748036,55.72519,,1064.56
1669278748594,54.27136,,1065.118
1669278749045,55.583755,,1065.569
1669278749566,58.767773,,1066.09
1669278750062,52.10918,,1066.586
1669278750555,48.167538,,1067.079
1669278751056,53.30073,,1067.58
1669278751547,48.77451,,1068.071
1669278752086,48.756218,,1068.61
1669278752554,49.577465,,1069.078
1669278753073,50.11655,,1069.597
1669278753568,54.255318,,1070.092
1669278754065,55.42453,,1070.589
1669278754571,55.82524,,1071.095
1669278755064,50.65963,,1071.588
1669278755576,49.257427,,1072.1
1669278756088,51.0,,1072.612
1669278756569,50.260418,,1073.093
1669278757070,48.039215,,1073.594
1669278757583,48.899757,,1074.107
1669278758086,49.36709,,1074.61
1669278758617,52.289158,,1075.141
1669278759072,55.647385,,1075.596
1669278759566,58.51852,,1076.09
1669278760071,49.747475,,1076.595
1669278760575,48.267326,,1077.099
1669278761073,53.101738,,1077.597
1669278761577,49.0,,1078.101
1669278762079,50.251255,,1078.603
1669278762582,50.47619,,1079.106
1669278763056,48.42105,,1079.58
1669278763573,51.501156,,1080.097
1669278764044,54.12088,,1080.568
1669278764569,54.501217,,1081.093
1669278765093,55.395683,,1081.617
1669278765592,51.463413,,1082.116
1669278766101,51.64557,,1082.625
1669278766562,48.51752,,1083.086
1669278767086,49.305557,,1083.61
1669278767582,50.777203,,1084.106
1669278768055,50.128536,,1084.579
1669278768540,54.481133,,1085.064
1669278769095,52.27818,,1085.619
1669278769567,55.208332,,1086.091
1669278770092,48.522167,,1086.616
1669278770596,51.57385,,1087.12
1669278771082,47.19388,,1087.606
1669278771587,50.123455,,1088.111
1669278772105,49.537037,,1088.629
1669278772575,48.37838,,1089.099
1669278773084,49.21875,,1089.608
1669278773551,53.00261,,1090.075
1669278774091,57.07547,,1090.615
1669278774562,54.712044,,1091.086
1669278775083,56.144577,,1091.607
1669278775585,49.14842,,1092.109
1669278776103,47.857143,,1092.627
1669278776587,51.8797,,1093.111
1669278777078,51.150894,,1093.602
1669278777593,49.509804,,1094.117
1669278778095,47.164948,,1094.619
1669278778602,52.439026,,1095.126
1669278779067,56.613758,,1095.591
1669278779553,57.10784,,1096.077
1669278780064,51.38539,,1096.588
1669278780603,51.243782,,1097.127
1669278781077,51.458885,,1097.601
1669278781586,59.810875,,1098.11
1669278782010,29.213484,,1098.534
1669278782511,26.566416,,1099.035
1669278783103,44.418606,,1099.627
1669278783615,49.01478,,1100.139
1669278784070,46.0733,,1100.594
1669278784597,47.306793,,1101.121
1669278785086,39.603962,,1101.61
1669278785580,43.76528,,1102.104
1669278786064,46.07595,,1102.588
1669278786580,38.024693,,1103.104
1669278787087,41.92771,,1103.611
1669278787593,39.8568,,1104.117
1669278788038,47.04301,,1104.562
1669278788585,45.238094,,1105.109
1669278789051,44.974873,,1105.575
1669278789549,46.17284,,1106.073
1669278790097,39.23445,,1106.621
1669278790609,35.421688,,1107.133
1669278791098,47.30077,,1107.622
1669278791588,36.27451,,1108.112
1669278792073,41.439205,,1108.597
1669278792573,44.85294,,1109.097
1669278793073,39.447235,,1109.597
1669278793585,48.75,,1110.109
1669278794086,48.25,,1110.61
1669278794560,55.03876,,1111.084
1669278795110,40.774487,,1111.634
1669278795595,45.20202,,1112.119
1669278796086,44.827587,,1112.61
1669278796593,37.68473,,1113.117
1669278797085,36.623375,,1113.609
1669278797581,41.9598,,1114.105
1669278798077,39.303482,,1114.601
1669278798597,43.04462,,1115.121
1669278799033,67.00507,,1115.557
1669278799525,39.506172,,1116.049
1669278800083,34.252872,,1116.607
1669278800556,50.127228,,1117.08
1669278801068,49.127182,,1117.592
1669278801606,47.732697,,1118.13
1669278802107,50.363197,,1118.631
1669278802611,49.004974,,1119.135
1669278803107,48.101265,,1119.631
1669278803634,53.268764,,1120.158
1669278804082,56.349205,,1120.606
1669278804601,53.57143,,1121.125
1669278805084,56.82927,,1121.608
1669278805623,51.34474,,1122.147
1669278806095,50.387596,,1122.619
1669278806607,49.872124,,1123.131
1669278807108,50.23474,,1123.632
1669278807602,50.260418,,1124.126
1669278808108,47.457626,,1124.632
1669278808637,54.074074,,1125.161
1669278809107,57.68262,,1125.631
1669278809618,56.690998,,1126.142
1669278810107,52.9563,,1126.631
1669278810611,49.625935,,1127.135
1669278811113,45.43081,,1127.637
1669278811614,48.51485,,1128.138
1669278812109,51.75,,1128.633
1669278812638,48.837208,,1129.162
1669278813113,51.732674,,1129.637
1669278813629,54.228855,,1130.153
1669278814111,56.060608,,1130.635
1669278814603,55.14512,,1131.127
1669278815121,51.42857,,1131.645
1669278815627,50.620346,,1132.151
1669278816122,49.489796,,1132.646
1669278816612,48.974358,,1133.136
1669278817091,53.41772,,1133.615
1669278817631,48.79227,,1134.155
1669278818128,51.318943,,1134.652
1669278818609,51.295338,,1135.133
1669278819109,55.773956,,1135.633
1669278819602,56.971153,,1136.126
1669278820131,47.81491,,1136.655
1669278820619,51.34474,,1137.143
1669278821124,52.130325,,1137.648
1669278821609,52.02864,,1138.133
1669278822112,49.87593,,1138.636
1669278822620,47.916668,,1139.144
1669278823115,47.536945,,1139.639
1669278823609,51.530613,,1140.133
1669278824103,55.637257,,1140.627
1669278824625,50.497513,,1141.149
1669278825111,49.868767,,1141.635
1669278825628,49.152542,,1142.152
1669278826123,51.75,,1142.647
1669278826628,49.261086,,1143.152
1669278827103,50.886074,,1143.627
1669278827627,48.433735,,1144.151
