RecordTime,PSS-main-6006(MB),extra,SimpleTime
1669202255512,359.59082,,3158.325
1669202256450,398.23926,,3159.263
1669202257361,398.1953,,3160.174
1669202264295,400.09082,,3167.108
1669202265958,398.28223,,3168.771
1669202267294,398.20703,,3170.107
1669202268542,398.2422,,3171.355
1669202269412,356.38672,,3172.225
1669202270548,398.33594,,3173.361
1669202271557,398.417,,3174.37
1669202272614,398.5791,,3175.427
1669202273477,358.16895,,3176.29
1669202274253,398.2588,,3177.066
1669202275399,400.22754,,3178.212
1669202276413,400.21973,,3179.226
1669202277430,400.23145,,3180.243
1669202278323,398.3086,,3181.136
1669202279319,400.2002,,3182.132
1669202280489,354.59863,,3183.302
1669202281405,400.2744,,3184.218
1669202282337,400.583,,3185.15
1669202289543,400.35547,,3192.356
1669202290568,398.48535,,3193.381
1669202291557,400.76758,,3194.37
1669202292441,398.4541,,3195.254
1669202293461,400.39844,,3196.274
1669202294382,400.37207,,3197.195
1669202295382,398.36035,,3198.195
1669202296360,398.47363,,3199.173
1669202297394,398.5,,3200.207
1669202299020,400.39062,,3201.833
1669202299997,398.02344,,3202.81
1669202301031,400.6963,,3203.844
1669202301921,398.6211,,3204.734
1669202302874,398.49023,,3205.687
1669202304051,399.84766,,3206.864
1669202304841,398.5586,,3207.654
1669202306047,354.0205,,3208.86
1669202307016,398.51562,,3209.829
1669202308326,400.52344,,3211.139
1669202309446,398.9463,,3212.259
1669202310377,400.52344,,3213.19
1669202311460,398.54883,,3214.273
1669202312468,400.3994,,3215.281
1669202313428,398.54785,,3216.241
1669202314479,398.0088,,3217.292
1669202315529,398.47266,,3218.342
1669202316412,398.60938,,3219.225
1669202317581,400.5127,,3220.394
1669202318477,398.6211,,3221.29
1669202319510,400.92676,,3222.323
1669202320382,398.21582,,3223.195
1669202321359,402.15332,,3224.172
1669202322453,431.85547,,3225.266
1669202323431,402.16016,,3226.244
1669202324452,401.083,,3227.265
1669202325536,401.11816,,3228.349
1669202326477,401.0918,,3229.29
1669202327567,401.16797,,3230.38
1669202328460,399.59863,,3231.273
1669202329447,399.18066,,3232.26
1669202330451,401.15625,,3233.264
1669202331520,401.14062,,3234.333
1669202332532,401.0791,,3235.345
1669202333487,400.6289,,3236.3
