RecordTime,CPUÎÂ¶È(¶È),extra,SimpleTime
1669277839078,47.3,null,155.602
1669277839580,48.0,null,156.104
1669277840582,44.9,null,157.106
1669277841581,44.2,null,158.105
1669277842582,44.6,null,159.106
1669277843082,44.6,null,159.606
1669277843582,45.3,null,160.106
1669277844082,45.7,null,160.606
1669277844583,48.0,null,161.107
1669277845083,46.9,null,161.607
1669277845583,45.7,null,162.107
1669277846088,45.3,null,162.612
1669277846589,45.3,null,163.113
1669277847089,45.7,null,163.613
1669277847589,44.6,null,164.113
1669277848089,44.2,null,164.613
1669277848590,46.5,null,165.114
1669277849090,46.9,null,165.614
1669277849590,48.0,null,166.114
1669277850090,46.5,null,166.614
1669277850594,46.1,null,167.118
1669277851095,45.7,null,167.619
1669277851601,45.7,null,168.125
1669277852595,45.3,null,169.119
1669277853096,44.6,null,169.62
1669277853597,46.9,null,170.121
1669277854098,46.5,null,170.622
1669277855097,45.7,null,171.621
1669277855598,44.6,null,172.122
1669277856098,45.3,null,172.622
1669277856601,45.3,null,173.125
1669277857101,45.3,null,173.625
1669277857601,44.6,null,174.125
1669277858102,44.9,null,174.626
1669277858603,45.3,null,175.127
1669277859602,44.9,null,176.126
1669277860103,44.9,null,176.627
1669277860604,45.3,null,177.128
1669277861603,44.2,null,178.127
1669277862105,44.6,null,178.629
1669277863104,44.6,null,179.628
1669277863605,45.3,null,180.129
1669277864105,46.9,null,180.629
1669277864605,47.3,null,181.129
1669277865106,45.3,null,181.63
1669277865609,44.6,null,182.133
1669277866609,44.9,null,183.133
1669277867109,44.9,null,183.633
1669277867609,44.9,null,184.133
1669277868109,45.3,null,184.633
1669277868609,45.7,null,185.133
1669277869109,44.9,null,185.633
1669277869610,44.2,null,186.134
1669277870111,44.2,null,186.635
1669277871113,44.6,null,187.637
1669277871613,44.9,null,188.137
1669277872113,44.2,null,188.637
1669277872613,44.9,null,189.137
1669277873115,44.6,null,189.639
1669277873615,46.5,null,190.139
1669277874115,46.1,null,190.639
1669277874617,44.9,null,191.141
1669277875117,44.9,null,191.641
1669277875617,43.8,null,192.141
1669277876117,44.9,null,192.641
