RecordTime,应用进程-main-29179(%),extra,SimpleTime
1669280102421,18.656715,,2418.945
1669280102933,18.372093,,2419.457
1669280103512,19.68912,,2420.036
1669280103928,15.815085,,2420.452
1669280104439,16.304348,,2420.963
1669280104941,15.990454,,2421.465
1669280105426,20.0,,2421.95
1669280105925,0.0,,2422.449
1669280106440,0.0,,2422.964
1669280106891,18.863049,,2423.415
1669280107470,21.026894,,2423.994
1669280107873,18.181818,,2424.397
1669280108554,18.891687,,2425.078
1669280108923,16.049381,,2425.447
1669280109374,16.094988,,2425.898
1669280109917,17.368422,,2426.441
1669280110452,16.704805,,2426.976
1669280110888,17.391304,,2427.412
1669280111439,18.409092,,2427.963
1669280111948,18.734793,,2428.472
1669280112465,20.680628,,2428.989
1669280112971,17.1875,,2429.495
1669280113378,17.114916,,2429.902
1669280113927,15.53398,,2430.451
1669280114484,17.31266,,2431.008
1669280114963,16.202532,,2431.487
1669280115494,19.444445,,2432.018
1669280115914,18.346252,,2432.438
1669280116383,18.848167,,2432.907
1669280116924,18.115942,,2433.448
1669280117494,17.480719,,2434.018
1669280117884,19.0,,2434.408
1669280118405,18.271606,,2434.929
1669280118954,16.70823,,2435.478
1669280119371,15.363881,,2435.895
1669280119986,15.925058,,2436.51
1669280120461,19.321148,,2436.985
1669280120973,17.966904,,2437.497
1669280121488,18.024693,,2438.012
1669280121977,16.541353,,2438.501
1669280122476,18.68421,,2439.0
1669280122984,18.325792,,2439.508
1669280123435,19.023136,,2439.959
1669280123886,16.231884,,2440.41
1669280124377,15.035799,,2440.901
1669280124966,18.544601,,2441.49
1669280125469,17.675545,,2441.993
1669280125942,17.75457,,2442.466
1669280126371,17.250673,,2442.895
1669280126911,18.717949,,2443.435
1669280127499,17.873304,,2444.023
1669280127992,16.962027,,2444.516
1669280128531,16.944445,,2445.055
1669280128975,15.48975,,2445.499
1669280129488,14.98829,,2446.012
1669280129966,19.34605,,2446.49
1669280130534,19.323671,,2447.058
1669280130894,18.157894,,2447.418
1669280131515,19.457014,,2448.039
1669280131956,17.866667,,2448.48
1669280132455,19.414894,,2448.979
1669280132925,20.056496,,2449.449
1669280133471,19.117647,,2449.995
1669280133960,15.865384,,2450.484
1669280134482,15.6479225,,2451.006
1669280135004,18.032785,,2451.528
1669280135473,0.0,,2451.997
1669280136034,0.0,,2452.558
1669280136466,0.0,,2452.99
1669280136974,18.867926,,2453.498
1669280137489,18.357489,,2454.013
1669280138046,18.610422,,2454.57
1669280138481,0.0,,2455.005
1669280138945,0.0,,2455.469
1669280139515,15.762274,,2456.039
1669280140019,17.209301,,2456.543
1669280140468,18.449198,,2456.992
1669280140922,18.181818,,2457.446
1669280141511,18.138426,,2458.035
1669280141993,19.095478,,2458.517
1669280142492,17.73779,,2459.016
1669280143023,18.844221,,2459.547
1669280143503,18.058691,,2460.027
1669280143963,16.164383,,2460.487
1669280144486,14.673912,,2461.01
1669280145005,16.816143,,2461.529
1669280145474,18.453865,,2461.998
1669280145945,18.766756,,2462.469
1669280146502,20.289854,,2463.026
1669280146953,17.412935,,2463.477
1669280147511,18.108109,,2464.035
1669280147957,18.75,,2464.481
1669280148490,18.544601,,2465.014
1669280148930,17.426273,,2465.454
1669280149490,15.931373,,2466.014
1669280150019,16.831682,,2466.543
1669280150534,18.491484,,2467.058
1669280150947,19.160105,,2467.471
1669280151480,19.856459,,2468.004
1669280151991,20.971867,,2468.515
1669280152522,18.826406,,2469.046
1669280152980,18.15857,,2469.504
1669280153526,17.647058,,2470.05
1669280153968,16.372795,,2470.492
1669280154472,15.526316,,2470.996
1669280154984,18.57798,,2471.508
1669280155451,18.449198,,2471.975
1669280155970,19.070904,,2472.494
1669280156492,19.012346,,2473.016
1669280156986,18.205805,,2473.51
1669280157463,18.5567,,2473.987
1669280158056,18.571428,,2474.58
1669280158488,18.316832,,2475.012
1669280158973,16.802168,,2475.497
1669280159485,17.380953,,2476.009
1669280160007,19.402985,,2476.531
1669280160396,14.933332,,2476.92
1669280160962,16.550116,,2477.486
1669280161507,19.512194,,2478.031
1669280161999,18.767508,,2478.523
1669280162539,18.20331,,2479.063
1669280162995,18.732782,,2479.519
1669280163607,20.0,,2480.131
1669280163984,15.330188,,2480.508
1669280164450,15.1595745,,2480.974
1669280164985,17.574259,,2481.509
1669280165525,19.106699,,2482.049
1669280166038,18.863049,,2482.562
1669280166487,17.989418,,2483.011
1669280167048,17.865429,,2483.572
1669280167522,18.258427,,2484.046
1669280167988,18.518518,,2484.512
1669280168456,17.75,,2484.98
1669280169010,15.706806,,2485.534
1669280169460,15.291262,,2485.984
1669280170072,18.501171,,2486.596
1669280170480,18.897638,,2487.004
1669280171020,18.367348,,2487.544
1669280171536,18.599033,,2488.06
1669280171929,17.894737,,2488.453
1669280172491,18.779343,,2489.015
1669280173073,18.610422,,2489.597
1669280173546,17.520216,,2490.07
1669280173972,16.537468,,2490.496
1669280174568,16.972477,,2491.092
1669280175014,18.378378,,2491.538
1669280175500,16.79198,,2492.024
1669280176009,18.333334,,2492.533
1669280176527,18.204489,,2493.051
1669280177000,18.703241,,2493.524
1669280177529,19.363396,,2494.053
1669280178075,18.202248,,2494.599
1669280178603,17.250673,,2495.127
1669280178981,16.494844,,2495.505
1669280179537,15.9601,,2496.061
1669280180028,17.493473,,2496.552
1669280180525,18.536585,,2497.049
1669280181002,16.752577,,2497.526
1669280181469,19.37799,,2497.993
1669280182074,20.873787,,2498.598
1669280182516,18.867926,,2499.04
1669280183058,18.676123,,2499.582
1669280183562,18.766066,,2500.086
1669280183972,16.0401,,2500.496
1669280184431,15.425531,,2500.955
1669280185010,18.62069,,2501.534
1669280185530,19.548872,,2502.054
1669280186008,17.317074,,2502.532
1669280186585,20.844326,,2503.109
1669280187031,16.786572,,2503.555
1669280187513,18.47826,,2504.037
1669280188011,18.944845,,2504.535
1669280188621,16.923077,,2505.145
1669280188969,15.503876,,2505.493
1669280189533,14.593302,,2506.057
1669280190039,18.0,,2506.563
1669280190576,18.548388,,2507.1
1669280190973,19.070904,,2507.497
1669280191573,19.323671,,2508.097
1669280192077,17.359413,,2508.601
1669280192549,19.034853,,2509.073
1669280193063,18.34171,,2509.587
1669280193574,18.575064,,2510.098
1669280193993,18.320612,,2510.517
1669280194487,19.651741,,2511.011
1669280195033,18.588236,,2511.557
1669280195551,19.07357,,2512.075
1669280195973,18.481012,,2512.497
1669280196546,19.764706,,2513.07
1669280197048,17.829456,,2513.572
1669280197532,18.04878,,2514.056
1669280197968,17.766499,,2514.492
1669280198591,18.644068,,2515.115
1669280198988,15.099714,,2515.512
1669280199652,16.747574,,2516.176
1669280200077,19.466667,,2516.601
1669280200531,17.902813,,2517.055
1669280201055,16.129032,,2517.579
1669280201566,18.75,,2518.09
1669280202058,19.132652,,2518.582
1669280202539,18.461538,,2519.063
1669280203103,18.75,,2519.627
1669280203588,17.79661,,2520.112
1669280203994,16.120907,,2520.518
1669280204566,15.284973,,2521.09
1669280205081,15.925058,,2521.605
1669280205588,18.015667,,2522.112
1669280206052,18.78307,,2522.576
1669280206657,18.905472,,2523.181
1669280207026,18.114143,,2523.55
1669280207533,19.422573,,2524.057
1669280207998,17.464115,,2524.522
1669280208658,18.734179,,2525.182
1669280209041,18.13602,,2525.565
1669280209566,18.947369,,2526.09
1669280210079,18.204489,,2526.603
1669280210587,19.270832,,2527.111
1669280211097,17.713005,,2527.621
1669280211583,19.382023,,2528.107
1669280212055,20.293398,,2528.579
1669280212600,0.0,,2529.124
1669280213071,0.0,,2529.595
1669280213589,17.560976,,2530.113
1669280214081,15.217391,,2530.605
1669280214548,17.277487,,2531.072
1669280215061,19.948849,,2531.585
1669280215595,19.132652,,2532.119
1669280216047,17.183771,,2532.571
1669280216618,18.362282,,2533.142
1669280217055,18.75,,2533.579
1669280217573,18.68421,,2534.097
1669280218017,16.70823,,2534.541
1669280218594,17.866005,,2535.118
1669280219088,15.815085,,2535.612
1669280219536,15.079366,,2536.06
1669280220068,15.367482,,2536.592
1669280220448,15.7099695,,2536.972
1669280221032,19.406393,,2537.556
1669280221588,18.978102,,2538.112
1669280222078,21.119593,,2538.602
1669280222535,18.98734,,2539.059
1669280223140,20.094563,,2539.664
1669280223639,18.518518,,2540.163
1669280224126,15.970516,,2540.65
1669280224592,16.166283,,2541.116
1669280225090,20.307693,,2541.614
1669280225546,19.106699,,2542.07
1669280226072,18.137255,,2542.596
1669280226583,17.692308,,2543.107
1669280227057,19.402985,,2543.581
1669280227570,18.004866,,2544.094
1669280228051,19.181585,,2544.575
1669280228559,19.273743,,2545.083
1669280229031,15.825687,,2545.555
1669280229540,15.649867,,2546.064
1669280230072,18.670076,,2546.596
1669280230567,20.14563,,2547.091
1669280231097,17.857143,,2547.621
1669280231569,18.826406,,2548.093
1669280232125,17.730497,,2548.649
1669280232579,18.947369,,2549.103
1669280233130,19.114218,,2549.654
1669280233677,19.02174,,2550.201
1669280234053,0.0,,2550.577
1669280234468,0.0,,2550.992
1669280234948,6.3451777,,2551.472
1669280235495,11.4754095,,2552.019
1669280235995,14.179105,,2552.519
1669280236527,11.520738,,2553.051
1669280237008,12.0643425,,2553.532
1669280237582,12.293144,,2554.106
1669280238013,13.151364,,2554.537
1669280238617,15.089514,,2555.141
1669280239057,13.466334,,2555.581
1669280239599,12.0,,2556.123
1669280240092,12.562815,,2556.616
1669280240593,12.439024,,2557.117
1669280240953,15.988372,,2557.477
1669280241569,14.567902,,2558.093
1669280242070,15.909091,,2558.594
1669280242523,16.5,,2559.047
1669280243020,20.05076,,2559.544
1669280243661,15.639811,,2560.185
1669280244092,12.722646,,2560.616
1669280244627,12.589073,,2561.151
1669280245040,20.97701,,2561.564
1669280245644,15.668203,,2562.168
1669280245996,15.57377,,2562.52
1669280246497,17.241379,,2563.021
1669280247020,11.82266,,2563.544
1669280247593,11.666667,,2564.117
1669280248104,19.53125,,2564.628
1669280248651,20.094563,,2565.175
1669280249051,10.263158,,2565.575
1669280249609,11.4754095,,2566.133
1669280250074,12.623763,,2566.598
1669280250568,13.043478,,2567.092
1669280251005,10.9375,,2567.529
1669280251608,12.35955,,2568.132
1669280252020,12.339332,,2568.544
1669280252512,17.493473,,2569.036
1669280253111,15.270937,,2569.635
1669280253510,18.85856,,2570.034
1669280254077,19.464722,,2570.601
1669280254504,14.871796,,2571.028
1669280255041,21.319798,,2571.565
1669280255606,11.926605,,2572.13
1669280256033,14.102565,,2572.557
1669280256599,14.6907215,,2573.123
1669280257018,12.219451,,2573.542
1669280257586,20.558374,,2574.11
1669280258006,13.246754,,2574.53
1669280258505,22.5,,2575.029
1669280259017,18.944845,,2575.541
1669280259502,14.5,,2576.026
1669280260026,11.98044,,2576.55
1669280260526,11.547912,,2577.05
1669280261017,11.922141,,2577.541
1669280261612,13.439636,,2578.136
1669280261975,17.57925,,2578.499
1669280262478,13.399504,,2579.002
1669280263054,11.764706,,2579.578
1669280263501,18.97019,,2580.025
1669280264018,15.233416,,2580.542
1669280264692,16.25239,,2581.216
1669280265075,19.496855,,2581.599
1669280265608,0.0,,2582.132
1669280266066,0.0,,2582.59
1669280266532,18.5567,,2583.056
1669280267132,19.512194,,2583.656
1669280267678,20.14218,,2584.202
1669280268107,18.378378,,2584.631
1669280268605,18.390804,,2585.129
1669280269088,17.127071,,2585.612
1669280269646,14.492753,,2586.17
1669280270169,0.0,,2586.693
1669280270591,0.0,,2587.115
1669280271123,17.955112,,2587.647
1669280271671,18.89952,,2588.195
1669280272133,18.701298,,2588.657
1669280272595,17.877094,,2589.119
1669280273123,18.25,,2589.647
1669280273593,17.031631,,2590.117
1669280274108,16.504854,,2590.632
1669280274617,18.25,,2591.141
1669280275052,18.372704,,2591.576
1669280275630,19.093079,,2592.154
1669280276105,16.353888,,2592.629
1669280276664,19.84536,,2593.188
1669280277101,17.274939,,2593.625
1669280277658,18.947369,,2594.182
1669280278105,18.117647,,2594.629
1669280278679,17.788462,,2595.203
1669280279110,16.103897,,2595.634
1669280279650,14.467006,,2596.174
1669280280081,0.0,,2596.605
1669280280544,0.0,,2597.068
1669280281122,18.032785,,2597.646
1669280281654,20.518867,,2598.178
1669280282163,18.62245,,2598.687
1669280282643,19.623657,,2599.167
1669280283126,18.362282,,2599.65
1669280283731,17.590363,,2600.255
1669280284139,15.706806,,2600.663
1669280284609,15.762274,,2601.133
1669280285158,17.487686,,2601.682
1669280285689,17.955112,,2602.213
1669280286161,18.446602,,2602.685
1669280286636,17.917677,,2603.16
1669280287132,18.701298,,2603.656
1669280287670,19.106699,,2604.194
1669280288133,19.259258,,2604.657
1669280288677,17.75701,,2605.201
1669280289108,15.817695,,2605.632
1669280289587,15.531336,,2606.111
1669280290171,17.713005,,2606.695
1669280290590,19.770775,,2607.114
1669280291176,17.735043,,2607.7
1669280291642,18.27957,,2608.166
1669280292144,16.751268,,2608.668
1669280292626,17.759563,,2609.15
1669280293146,16.515837,,2609.67
1669280293714,17.098446,,2610.238
1669280294084,15.497076,,2610.608
1669280294592,17.675545,,2611.116
1669280295169,18.041237,,2611.693
1669280295657,18.544601,,2612.181
1669280296141,18.918919,,2612.665
1669280296666,18.592964,,2613.19
1669280297105,19.788918,,2613.629
1669280297651,19.565218,,2614.175
1669280298143,18.63517,,2614.667
1669280298704,19.298244,,2615.228
1669280299077,15.364583,,2615.601
1669280299582,15.135135,,2616.106
1669280300155,17.410715,,2616.679
1669280300636,19.851116,,2617.16
1669280301136,18.15718,,2617.66
1669280301664,18.581907,,2618.188
1669280302165,22.716627,,2618.689
1669280302665,18.406593,,2619.189
1669280303166,17.241379,,2619.69
1669280303617,16.788322,,2620.141
1669280304138,15.441176,,2620.662
1669280304707,14.39206,,2621.231
